BID,asp,af
T1200_2,217.8,-0.627
T1198_2,201.3,-0.779
T6094_2,276.1,0.085
AC118_3,310.2,0.265
AC27_2,295.0,0.28
AC117_4,335.4,0.396
AC25_1,224.1,-0.101
AC118_2,215.7,-0.103
T6094_1,174.8,-0.568
AC119_4,307.8,0.307
AC119_2,224.6,-0.205
AC26_3,253.8,-0.023
T6095_2,215.5,-0.479
AC117_2,229.3,-0.182
T6095_1,167.7,-0.563
AC117_1,111.0,-0.3
AC27_3,319.4,0.061
AC28_2,7.5,0.436
AC118_1,154.7,-0.673
T6096_2,216.2,-0.609
T6096_1,123.9,-0.391
AC117_3,220.2,-0.191
T6098_2,229.9,-0.475
T6098_1,217.6,-0.517
AC119_3,161.8,-0.685
AC115_3,312.8,0.37
T6097_1,148.4,-0.646
AC114_2,297.9,0.283
T6097_2,188.6,-0.63
T1192_1,16.7,0.632
AC114_3,199.6,-0.696
T1192_2,279.2,0.093
AC114_1,238.4,-0.174
T6092_1,319.5,0.328
AC29_1,10.4,0.231
T1201_2,38.8,0.422
T1201_1,86.0,0.047
AC113_3,323.0,0.458
T1205_2,331.7,0.381
T6092_2,269.6,-0.005
AC115_2,225.9,-0.122
T1202_1,165.6,-0.43
AC113_1,152.9,-0.873
T1202_2,201.3,-0.518
T1232_1,332.0,0.07
AC115_1,163.6,-0.398
AC28_4,261.4,-0.016
T1232_2,239.7,-0.109
AC29_3,273.3,0.016
AC28_3,297.7,0.09
T6090_2,321.7,0.535
T6101_1,311.4,0.362
T6090_1,354.4,0.646
T1205_1,234.2,-0.095
T6100_1,299.7,0.321
T6099_2,214.2,-0.625
T6099_1,189.4,-0.828
T1204_2,283.8,0.17
T6101_2,277.7,0.072
T1206_2,329.3,0.073
AC28_1,155.7,-0.075
T6100_2,241.6,-0.398
T16064_2,212.6,-0.564
T16064_1,151.5,-0.583
T6107_1,251.0,-0.079
T1210_2,286.1,0.056
T6102_1,311.6,0.28
T6102_2,255.3,-0.123
T6107_2,215.5,-0.341
T6103_1,167.3,-0.706
T6103_2,202.7,-0.677
T6106_1,292.7,0.22
T1204_1,256.8,-0.134
T1207_2,233.3,-0.434
T6105_1,302.5,0.288
T1210_1,272.8,0.003
T1207_1,167.1,-0.734
T1206_1,243.7,-0.037
T6104_1,131.3,-0.473
T6109_1,271.0,0.008
T6104_2,174.3,-0.383
AC113_5,234.0,-0.142
AC29_2,285.7,0.027
AC113_4,223.7,-0.171
AC112_1,133.2,-0.653
T16063_2,265.7,-0.064
T16063_1,145.5,-0.69
AC113_2,152.8,-0.289
T1209_1,180.9,-0.594
T6106_2,251.2,-0.207
T6105_2,266.6,-0.024
AC112_4,270.7,0.005
T1209_2,238.4,-0.243
T6109_2,271.1,0.01
AC112_3,241.9,-0.119
AC111_1,144.2,-0.797
AC112_2,137.0,-0.278
T6110_2,152.7,-0.769
T6110_1,169.3,-0.8
AC30_1,45.1,0.384
AC30_2,356.6,0.336
AC30_3,288.0,0.036
T1211_1,114.6,-0.086
T1211_2,181.2,-0.214
T6114_2,235.4,-0.37
T6111_2,165.4,-0.241
T6111_1,127.2,-0.353
T6114_1,206.6,-0.605
T6115_2,215.0,-0.604
T6115_1,190.4,-0.552
T6112_2,9.6,0.205
T6113_1,319.6,0.239
T6113_2,318.1,0.274
T6108_1,342.1,0.53
T1218_1,111.5,-0.131
T6112_1,336.0,0.369
AC111_2,116.0,-0.124
AC111_3,190.6,-0.254
T1218_2,169.5,-0.394
AC111_4,267.8,-0.027
T1220_2,255.7,-0.098
T1220_1,17.2,0.073
T1221_2,244.5,-0.336
T1221_1,45.7,0.418
T6108_2,240.9,-0.305
T6120_1,254.9,-0.08
T1219_1,318.8,0.177
T6119_2,153.8,-0.433
T6121_1,87.5,0.023
T6121_2,212.8,-0.539
T6119_1,111.2,-0.121
T1219_2,268.5,-0.005
T6120_2,225.0,-0.303
T6122_2,102.6,-0.117
T6118_1,311.5,0.321
T6118_2,288.9,0.175
T1212_1,311.8,0.439
T6124_2,200.4,-0.513
AC31_4,296.2,0.055
T1222_1,5.3,0.152
T6124_1,189.7,-0.686
T1212_2,230.3,-0.436
T6127_2,246.0,-0.227
T6122_1,123.1,-0.345
T6123_2,153.4,-0.596
T6123_1,123.8,-0.349
T1223_2,257.8,-0.091
AC31_1,332.0,0.068
AC31_3,346.9,0.38
T1234_2,254.0,-0.201
T6116_1,41.3,0.422
T1234_1,189.8,-0.482
T1217_2,45.9,0.518
T6127_1,247.7,-0.196
T1224_1,228.4,-0.592
T1223_1,170.5,-0.508
T1222_2,192.9,-0.59
T1217_1,50.1,0.517
T1215_2,247.9,-0.302
T1215_1,26.7,0.753
T6125_1,282.6,0.149
T16062_2,236.8,-0.339
T6128_1,109.4,-0.213
AC31_2,225.2,-0.533
T6116_2,22.1,0.164
T6128_2,133.2,-0.349
T16062_1,156.3,-0.554
T1214_1,8.1,0.873
T6126_2,336.6,0.808
T6126_1,10.8,0.877
AC110_2,206.2,-0.169
AC110_3,298.7,0.318
AC109_3,255.1,-0.219
T6117_2,311.3,0.369
T1213_1,6.7,0.854
T6117_1,331.7,0.625
T6130_2,247.2,-0.249
T6129_1,140.6,-0.544
AC110_1,143.2,-0.402
T6125_2,286.3,0.19
T6130_1,194.3,-0.351
T6129_2,211.7,-0.74
AC32_5,270.3,0.003
T1214_2,243.8,-0.374
T6132_2,59.3,0.301
T1225_1,56.0,0.096
T1213_2,253.0,-0.235
T1225_2,255.5,-0.058
T6132_1,59.9,0.211
T1226_2,267.7,-0.017
T1226_1,70.0,0.149
AC32_4,335.6,0.107
AC32_1,62.9,0.34
T6131_2,302.0,0.389
T6133_1,266.1,-0.011
T1233_2,275.2,0.061
T6134_1,15.3,0.755
T6134_2,228.9,-0.496
AC109_4,252.1,-0.099
T1229_2,298.3,0.162
T6131_1,282.9,0.105
AC109_2,227.4,-0.202
T6135_1,332.1,0.686
T6133_2,232.6,-0.406
AC108_1,144.2,-0.627
AC109_1,140.5,-0.229
AC108_4,300.1,0.2
L3_1,283.3,0.026
AC34_2,74.6,0.097
AC107_2,328.9,0.51
T1216_2,282.5,0.154
T1229_1,199.9,-0.27
T1216_1,352.2,0.647
T1233_1,191.3,-0.658
AC34_1,150.1,-0.554
T6136_2,220.1,-0.557
AC32_3,315.7,0.175
T6136_1,209.4,-0.692
T6135_2,190.7,-0.657
AC107_1,276.0,0.014
AC108_3,246.3,-0.086
T15550_2,356.6,0.714
AC34_3,324.7,0.229
T6137_2,204.7,-0.565
AC107_3,188.3,-0.677
T6137_1,200.6,-0.752
T1230_1,113.4,-0.232
T6138_1,116.6,-0.296
AC108_2,139.6,-0.41
T6140_1,258.0,-0.112
T1231_2,262.6,-0.083
L3_2,273.7,0.009
AC32_2,257.4,-0.022
T1230_2,132.5,-0.396
T15550_1,116.1,-0.33
T6140_2,220.6,-0.337
T6138_2,109.6,-0.25
T15756_2,240.4,-0.325
T6139_1,177.8,-0.761
T15756_1,100.5,-0.117
T1231_1,184.4,-0.476
T6139_2,216.1,-0.633
T6141_2,280.8,0.102
T6142_1,248.6,-0.119
T6142_2,248.7,-0.238
T6141_1,239.9,-0.299
T1240_2,254.9,-0.193
T1241_1,222.7,-0.019
T1241_2,255.4,-0.138
T1240_1,208.1,-0.623
AC35_3,317.0,0.089
T6143_2,241.5,-0.309
T1243_1,156.9,-0.697
T1243_2,181.7,-0.694
